id_venta,fecha_venta,marca,modelo,precio_usd,region,es_venta_online,tiene_garantia_extendida
1,2021-03-12,Apple,iPhone 12 Pro,999,Norteamerica,true,false
2,2022-11-05,Samsung,Galaxy S22 Ultra,1199,Europa,true,true
3,2023-01-20,Google,Pixel 7 Pro,899,Asia,false,false
4,2024-05-15,Apple,iPhone 15 Pro Max,1199,Norteamerica,true,true
5,2021-08-22,Samsung,Galaxy S21+,799,Latinoamerica,false,false
6,2022-04-10,Xiaomi,12 Pro,999,Asia,true,false
7,2023-09-30,Apple,iPhone 14 Pro,1099,Europa,true,true
8,2024-02-14,Samsung,Galaxy S24 Ultra,1299,Norteamerica,true,true
9,2021-12-01,Google,Pixel 6,599,Norteamerica,true,false
10,2023-06-18,Apple,iPhone 13,799,Latinoamerica,false,true
11,2022-07-25,Sony,Xperia 1 IV,1299,Europa,true,false
12,2024-01-10,Samsung,Galaxy S24+,999,Asia,true,true
13,2021-11-15,Apple,iPhone 12,699,Norteamerica,false,false
14,2023-03-05,Google,Pixel 8 Pro,999,Europa,true,true
15,2022-12-20,Samsung,Galaxy S22,799,Norteamerica,true,false
16,2024-04-22,Apple,iPhone 15,799,Asia,true,false
17,2021-09-14,Xiaomi,Mi 11 Ultra,1199,Europa,false,false
18,2023-11-02,Apple,iPhone 14 Pro Max,1299,Norteamerica,true,true
19,2022-05-30,Samsung,Galaxy S21 Ultra,1199,Latinoamerica,false,true
20,2023-08-12,Google,Pixel 7,599,Europa,true,false
21,2021-02-28,Apple,iPhone 12 Pro Max,1099,Norteamerica,true,false
22,2024-03-05,Samsung,Galaxy S24,799,Asia,true,true
23,2022-09-19,Apple,iPhone 13 Pro,999,Europa,true,true
24,2021-06-07,Google,Pixel 6 Pro,899,Norteamerica,false,false
25,2023-12-15,Samsung,Galaxy S23 Ultra,1199,Latinoamerica,true,true
26,2022-01-22,Sony,Xperia 1 III,1099,Europa,true,false
27,2024-05-01,Apple,iPhone 15 Pro,999,Norteamerica,true,true
28,2021-10-30,Xiaomi,12S Ultra,1099,Asia,true,false
29,2023-04-14,Samsung,Galaxy S23+,999,Europa,true,false
30,2022-08-08,Apple,iPhone 13 Mini,699,Norteamerica,false,false
31,2021-04-19,Samsung,Galaxy S21,699,Latinoamerica,false,false
32,2023-10-25,Google,Pixel 8,699,Europa,true,true
33,2024-02-28,Apple,iPhone 15 Plus,899,Asia,true,false
34,2022-03-12,Samsung,Galaxy S22+,999,Norteamerica,true,true
35,2021-07-01,Apple,iPhone 12 Mini,599,Europa,false,false
36,2023-05-20,Xiaomi,13 Pro,1099,Asia,true,true
37,2022-10-10,Google,Pixel 7a,499,Norteamerica,true,false
38,2021-12-25,Apple,iPhone 13 Pro Max,1099,Latinoamerica,false,true
39,2024-01-05,Samsung,Galaxy S24 Ultra,1299,Europa,true,true
40,2023-02-15,Apple,iPhone 14,799,Norteamerica,true,false
41,2021-08-30,Sony,Xperia 5 III,999,Europa,false,false
42,2022-06-12,Samsung,Galaxy S22 Ultra,1199,Asia,true,true
43,2023-09-01,Apple,iPhone 14 Plus,899,Norteamerica,true,false
44,2021-03-15,Google,Pixel 6a,449,Latinoamerica,false,false
45,2024-04-10,Samsung,Galaxy S23,799,Europa,true,true
46,2022-11-20,Apple,iPhone 14 Pro,1099,Norteamerica,true,true
47,2021-05-25,Xiaomi,11T Pro,749,Asia,true,false
48,2023-07-07,Samsung,Galaxy S23 Ultra,1199,Europa,true,true
49,2022-02-14,Apple,iPhone 13,799,Norteamerica,true,false
50,2021-09-30,Google,Pixel 6 Pro,899,Latinoamerica,false,false
51,2024-03-20,Apple,iPhone 15 Pro Max,1199,Asia,true,true
52,2022-08-15,Samsung,Galaxy S22,799,Europa,true,false
53,2023-01-10,Sony,Xperia 1 V,1399,Norteamerica,true,true
54,2021-11-05,Apple,iPhone 12,699,Asia,false,false
55,2022-04-25,Google,Pixel 7 Pro,899,Norteamerica,true,true
56,2023-12-01,Samsung,Galaxy S23+,999,Latinoamerica,false,false
57,2021-06-18,Apple,iPhone 12 Pro,999,Europa,true,false
58,2024-05-12,Xiaomi,14 Pro,1099,Asia,true,true
59,2022-09-30,Apple,iPhone 13 Pro Max,1099,Norteamerica,true,true
60,2023-03-25,Samsung,Galaxy S22+,999,Europa,true,false
61,2021-10-12,Google,Pixel 6,599,Asia,false,false
62,2024-02-01,Apple,iPhone 15,799,Norteamerica,true,false
63,2022-07-07,Samsung,Galaxy S21 Ultra,1199,Latinoamerica,false,true
64,2023-11-15,Apple,iPhone 14,799,Europa,true,true
65,2021-02-14,Xiaomi,11 Ultra,1199,Norteamerica,true,false
66,2024-04-30,Google,Pixel 8 Pro,999,Asia,true,true
67,2022-05-12,Apple,iPhone 13,799,Norteamerica,true,false
68,2023-08-25,Samsung,Galaxy S23,799,Europa,true,false
69,2021-08-01,Sony,Xperia 5 IV,999,Latinoamerica,false,false
70,2024-01-20,Apple,iPhone 15 Plus,899,Norteamerica,true,true
71,2022-03-30,Google,Pixel 7,599,Asia,true,false
72,2023-10-12,Samsung,Galaxy S23 Ultra,1199,Europa,true,true
73,2021-04-05,Apple,iPhone 12 Mini,599,Norteamerica,false,false
74,2023-06-30,Xiaomi,13 Ultra,1299,Asia,true,true
75,2022-12-15,Apple,iPhone 14 Pro Max,1299,Norteamerica,true,true
76,2021-07-20,Samsung,Galaxy S21+,799,Europa,false,false
77,2024-05-05,Google,Pixel 8,699,Norteamerica,true,true
78,2022-10-25,Apple,iPhone 13 Pro,999,Latinoamerica,false,true
